Module,Zone,Height,Width,Length,Image,,,,,
M1,Market Rate South Wing,"10' - 11 7/8""",,,,,,Template,width,length
M2,Market Rate South Wing,"10' - 11 7/8""",,,,,,MOD1,,
M3,Residential Affordable,"10' - 11 7/8""",,,,,,MOD2,,
M4,Residential Affordable,"10' - 11 7/8""",,,,,,MOD3,,
M5,Residential Affordable,"10' - 11 7/8""",,,,,,MOD4,,
M6,Residential Affordable,"10' - 11 7/8""",,,,,,MOD5,,
M7,Residential Affordable,"10' - 11 7/8""",,,,,,MOD6,,
M8,Residential Affordable,"10' - 11 7/8""",,,,,,MOD7,,
M9,Residential Affordable,"10' - 11 7/8""",,,,,,MOD8,,
M10,Residential Affordable,"10' - 11 7/8""",,,,,,MOD9,,
M11,Residential Affordable,"10' - 11 7/8""",,,,,,MOD10,,
M12,Residential Affordable,"10' - 11 7/8""",,,,,,MOD11,,
M13,Residential Affordable,"10' - 11 7/8""",,,,,,MOD12,,
M14,Residential Affordable,"10' - 11 7/8""",,,,,,MOD13,,
M15,Residential Affordable,"10' - 11 7/8""",,,,,,MOD14,,
M16,Residential Affordable,"10' - 11 7/8""",,,,,,MOD15,,
M17,Residential Affordable,"10' - 11 7/8""",,,,,,MOD16,,
M18,Residential Affordable,"10' - 11 7/8""",,,,,,MOD17,,
M19,Residential Affordable,"10' - 11 7/8""",,,,,,MOD18,,
M20,Residential Affordable,"10' - 11 7/8""",,,,,,MOD19,,
M21,Residential Affordable,"10' - 11 7/8""",,,,,,MOD20,"15' 9""",
M22,Residential Affordable,"10' - 11 7/8""",,,,,,MOD21,,
M23,Residential Affordable,"10' - 11 7/8""",,,,,,MOD22,,
M24,Residential Affordable,"10' - 11 7/8""",,,,,,MOD23,,
M25,Residential Affordable,"10' - 11 7/8""",,,,,,MOD24,,
M26,Residential Affordable,"10' - 11 7/8""",,,,,,MOD25,,
M27,Residential Affordable,"10' - 11 7/8""",,,,,,MOD26,,
M28,Residential Affordable,"10' - 11 7/8""",,,,,,MOD27,,
M29,Residential Affordable,"10' - 11 7/8""",,,,,,MOD28,,
M30,Residential Affordable,"10' - 11 7/8""",,,,,,MOD29,,
M31,Residential Affordable,"10' - 11 7/8""",,,,,,MOD30,,
M32,Residential Affordable,"10' - 11 7/8""",,,,,,MOD31,,
M33,Residential Affordable,"10' - 11 7/8""",,,,,,MOD32,,
M34,Residential Affordable,"10' - 11 7/8""",,,,,,MOD33,,
M35,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M36,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M37,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M38,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M39,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M40,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M41,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M42,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M43,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M44,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M45,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M46,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M47,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M48,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M49,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M50,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M51,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M52,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M53,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M54,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M55,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M56,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M57,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M58,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M59,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M60,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M61,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M62,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M63,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M64,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M65,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M66,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M67,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M68,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M69,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M70,Residential Affordable,"10' - 11 7/8""",,,,,,,,
M71,Residential Affordable,"10' - 11 7/8""",,,,,,,,
